"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1897","SLC1A2",8.50821236927868,6.88622870088092e-08,1.52172223057949e-07,"+"
"1898","ARHGAP45",-8.35293729688477,6.89221115115162e-08,1.5222417884946e-07,"-"
"1899","SRCIN1",8.14871854928531,6.95389970249673e-08,1.53505779635947e-07,"+"
"1900","MIR4252",8.20710376250456,7.00372805686526e-08,1.54443072142973e-07,"+"
"1901","C1QL1",8.20710376250456,7.00372805686526e-08,1.54443072142973e-07,"+"
"1902","TMEM97",8.85880287320532,7.24454871707628e-08,1.59669549011482e-07,"+"
"1903","SIK3",-8.87437551020547,7.4051064549346e-08,1.63122471146011e-07,"-"
"1904","NBPF12",-8.35352274383986,7.47376869896607e-08,1.64490760532647e-07,"-"
"1905","MIR4311",-8.65112491487013,7.47506915111387e-08,1.64490760532647e-07,"-"
"1906","MIR4635",7.93176020596136,7.63132240108424e-08,1.67841046722692e-07,"+"
"1907","GRID1",-8.46759184736414,7.81805301811982e-08,1.71857777933709e-07,"-"
"1908","DIMT1",-8.35352681050884,8.21728809052759e-08,1.80539159724799e-07,"-"
"1909","FAM167A",8.50818688485252,8.30583671969073e-08,1.82389038915367e-07,"+"
"1910","ARIH1",-8.35286300151823,8.47756720758418e-08,1.85965262868618e-07,"-"
"1911","MAP3K14-AS1",8.39389384945478,8.47642818923981e-08,1.85965262868618e-07,"+"
"1912","SLF2",8.44018579489729,8.58062680221816e-08,1.88127549973319e-07,"+"
"1913","CEP120",-8.05402651373255,8.67185870746919e-08,1.90028393631526e-07,"-"
"1914","SAP25",8.50861178547541,8.75450814064385e-08,1.91739279652973e-07,"+"
"1915","LINC02325",-8.2114865710368,8.81509994642883e-08,1.92965529897805e-07,"-"
"1916","KNDC1",-8.20983349085502,8.88434560749971e-08,1.94379837091017e-07,"-"
"1917","CERS5",-8.35352291412181,9.23461241046995e-08,2.01937898929004e-07,"-"
"1918","EVA1B",-8.05402411706866,9.43605569499198e-08,2.06235377859262e-07,"-"
"1919","CDH22",8.43674071990359,9.62104746349777e-08,2.1016899930684e-07,"+"
"1920","MIR4494",-8.65076161007199,1.03764263779449e-07,2.26551975918465e-07,"-"
"1921","ERVFRD-1",-8.35348571651512,1.06867372347119e-07,2.33205635022968e-07,"-"
"1922","MED9",-8.91905785783001,1.16210980964943e-07,2.53463284185765e-07,"-"
"1923","ZNF720",-8.35348780137458,1.18354910729504e-07,2.58005088808154e-07,"-"
"1924","MIR3161",-8.3534487316597,1.19003085096019e-07,2.59283229065755e-07,"-"
"1925","LINC01467",-8.05399870439317,1.20550834008097e-07,2.62519010993217e-07,"-"
"1926","DERL1",7.75970932447954,1.22402897563369e-07,2.66413783273958e-07,"+"
"1927","FAM86EP",-8.3535050134221,1.23654725826703e-07,2.68998760075526e-07,"-"
"1928","PHLDA3",-8.05399126465126,1.31089073836278e-07,2.84875789280289e-07,"-"
"1929","MTUS2",-8.05399126465126,1.31089073836278e-07,2.84875789280289e-07,"-"
"1930","GRK5",-8.74096115912904,1.31653079867226e-07,2.85953218032855e-07,"-"
"1931","ABHD11",7.925821317817,1.33965246179023e-07,2.90824604858862e-07,"+"
"1932","NDUFA4",-7.72106730867943,1.41792920709531e-07,3.07499184487509e-07,"-"
"1933","LINC02399",-7.72106730867943,1.41792920709531e-07,3.07499184487509e-07,"-"
"1934","DMBT1",7.97702648373364,1.43925699568725e-07,3.11963046841827e-07,"+"
"1935","MORC2-AS1",7.7596811449347,1.4482981112866e-07,3.1376050038829e-07,"+"
"1936","FAM86C1",-8.40350100850161,1.45149316902839e-07,3.14290256434246e-07,"-"
"1937","SMIM12",-8.05394544541528,1.61561360220168e-07,3.49466058845689e-07,"-"
"1938","MIR4641",-8.05394544541528,1.61561360220168e-07,3.49466058845689e-07,"-"
"1939","LINC02541",7.98587558545327,1.62538790145643e-07,3.51398972816161e-07,"+"
"1940","MIR8485",-7.72105036438656,1.67500745218992e-07,3.6175328385266e-07,"-"
"1941","PPIA",-7.72105036438656,1.67500745218992e-07,3.6175328385266e-07,"-"
"1942","MSANTD1",7.93165652937965,1.7071835762534e-07,3.68512541279828e-07,"+"
"1943","XRCC3",7.75965165661018,1.72220974380766e-07,3.71564757902301e-07,"+"
"1944","PITX2",7.75963898822061,1.77299215804397e-07,3.82324234903309e-07,"+"
"1945","ST6GALNAC5",7.87595369471904,1.81775108942349e-07,3.91774425031531e-07,"+"
"1946","SMCO1",8.54447122051026,1.8418931457702e-07,3.96773693066221e-07,"+"
"1947","LOC101929229",7.75968512101957,1.93076221170357e-07,4.15703913274852e-07,"+"
"1948","GGPS1",-8.0539503852656,1.93547391207728e-07,4.16504447609237e-07,"-"
"1949","BCHE",-7.72098533301348,1.94491921336058e-07,4.18322285398027e-07,"-"
"1950","AGMO",7.75962808848225,1.97768164075789e-07,4.25150842977287e-07,"+"
"1951","KCNA6",-8.35342441210388,1.98955489002654e-07,4.27484064530563e-07,"-"
"1952","EFHC1",7.75955876518404,2.10077464575299e-07,4.5114996490761e-07,"+"
"1953","GRIN3B",7.91766858454702,2.22231236663105e-07,4.77006320579486e-07,"+"
"1954","MIR557",-8.05333818571486,2.25216374101335e-07,4.8316634607615e-07,"-"
"1955","FLNC",-7.72104921317873,2.25481301611755e-07,4.83487271793594e-07,"-"
"1956","NOM1",6.96555849243829,2.30851885443401e-07,4.94750053056613e-07,"+"
"1957","LOC101928782",-7.721046603118,2.31660210801899e-07,4.96228719305856e-07,"-"
"1958","AGFG2",-8.05393388956752,2.33078244848406e-07,4.99011237183105e-07,"-"
"1959","LOC101926963",-7.72099755355867,2.42080946008669e-07,5.18021095287565e-07,"-"
"1960","LINC01258",-8.05401328476843,2.43631007093359e-07,5.21072031497633e-07,"-"
"1961","NEK10",7.75961114594351,2.43934548930256e-07,5.21189413412657e-07,"+"
"1962","MIR4445",-7.72096836706093,2.43890102050798e-07,5.21189413412657e-07,"-"
