"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"204","PPP6R2",-12.3633385463299,2.08624634251776e-15,1.17474077139713e-13,"-"
"205","FLNA",-12.8294305308863,2.39285319212571e-15,1.3408148594121e-13,"-"
"206","RTN2",-10.8939102498947,2.46640800930906e-15,1.37532178655015e-13,"-"
"207","FRYL",-10.2036537127045,2.50994261553779e-15,1.3928362717238e-13,"-"
"208","SYNE1",-12.5896273992821,2.52696143908216e-15,1.39553875243927e-13,"-"
"209","FAM83B",-9.35050834373505,2.79989588056435e-15,1.5388710038298e-13,"-"
"210","TMEM200A",-13.0582754208434,3.33460974593099e-15,1.82403153102425e-13,"-"
"211","ARHGEF19",-10.043649887107,3.56300154286054e-15,1.93179954483758e-13,"-"
"212","LOC105374952",-12.5103178916305,3.56526076003802e-15,1.93179954483758e-13,"-"
"213","ARHGAP45",-10.7856138480838,3.86296294555662e-15,2.08327959416004e-13,"-"
"214","AP3M2",-10.0659608048636,3.88311615107894e-15,2.08436239380579e-13,"-"
"215","TMEM120B",-10.7120288815695,4.11121083783112e-15,2.1863647636188e-13,"-"
"216","RAI1",10.735009457683,4.10271787521534e-15,2.1863647636188e-13,"+"
"217","HCG27",-10.3534184717924,4.43709167490016e-15,2.34879594790683e-13,"-"
"218","ARHGAP26",-11.0371708847794,4.60734623788114e-15,2.42773331351104e-13,"-"
"219","PEX26",-10.721299889572,4.68516259557879e-15,2.45746405184537e-13,"-"
"220","VAPA",10.677394834321,4.71300336662878e-15,2.46083043965749e-13,"+"
"221","TBC1D10C",-12.7018096721596,4.97563979391839e-15,2.58620698247695e-13,"-"
"222","CXCL13",-12.2664879350578,5.02581408141229e-15,2.60051920509833e-13,"-"
"223","IL37",-11.2614882375471,5.54577926725254e-15,2.85669804676816e-13,"-"
"224","TP53I11",10.626778917784,5.72151502643212e-15,2.93406442449222e-13,"+"
"225","MIR3140",-10.2307933506903,5.8410064051001e-15,2.9820284700171e-13,"-"
"226","MICB",-9.91558047116803,5.87393681990214e-15,2.98557133850513e-13,"-"
"227","SNORA66",-10.2402304646987,5.92760035874692e-15,2.99957468374123e-13,"-"
"228","ARRB2",-10.9453365289534,6.33083062199747e-15,3.18957242784583e-13,"-"
"229","LINC02520",-12.6032940007398,6.41898077031821e-15,3.21986166413298e-13,"-"
"230","KNL1",10.1819439839611,6.56778472654985e-15,3.28018013712514e-13,"+"
"231","LONRF2",10.5927825421547,6.65183976236602e-15,3.30777850001292e-13,"+"
"232","JAG2",-9.84478266446837,6.9967480454406e-15,3.46429503439552e-13,"-"
"233","RICTOR",-10.8106884941007,7.7912110159636e-15,3.84110046954394e-13,"-"
"234","PLGRKT",10.8344238442514,8.39632389157439e-15,4.12173386933825e-13,"+"
"235","ZDHHC19",-10.1379781028392,9.1447673004215e-15,4.47004008425284e-13,"-"
"236","HEMK1",-10.5042877117983,9.4001203610902e-15,4.4991326078268e-13,"-"
"237","NFE2L3",-10.5042877117983,9.4001203610902e-15,4.4991326078268e-13,"-"
"238","CAMK1D",-10.5042877117983,9.4001203610902e-15,4.4991326078268e-13,"-"
"239","LINC01599",-10.0461104263076,9.39974003160277e-15,4.4991326078268e-13,"-"
"240","ACSF3",-10.842720783389,9.35782824208992e-15,4.4991326078268e-13,"-"
"241","SERPINB6",-10.3689521924994,1.07013139526381e-14,5.10066362547527e-13,"-"
"242","FOSL2",-10.0471445025913,1.07567448244692e-14,5.10589784292059e-13,"-"
"243","SCAF11",-10.7588709283743,1.20120430037504e-14,5.67828551374819e-13,"-"
"244","ZNF605",10.4099995989793,1.22199679372966e-14,5.75290047933304e-13,"+"
"245","HRASLS2",9.99747140188036,1.25530286922473e-14,5.8855771668508e-13,"+"
"246","ARPC5L",-10.4165020378045,1.26224613504242e-14,5.89407372082611e-13,"-"
"247","ITGA4",-11.7082295273983,1.27522194897723e-14,5.93055648902892e-13,"-"
"248","FBXL18",-10.6901776525049,1.43214339559378e-14,6.63348031660715e-13,"-"
"249","PARD6G",-10.3956828354613,1.44366742758482e-14,6.66000310870154e-13,"-"
"250","KIAA1191",-10.3750959270181,1.54477856648498e-14,7.09794855728519e-13,"-"
"251","PCGEM1",-11.338059682933,1.60746448733463e-14,7.35655161992544e-13,"-"
"252","PCNT",-10.6642908500919,1.63998852457732e-14,7.47561435786494e-13,"-"
"253","LOC100506725",-12.6920374144848,1.66186228106108e-14,7.54538024606666e-13,"-"
"254","TEX264",-10.3278140428284,1.68343819210496e-14,7.60632372137014e-13,"-"
"255","CCDC69",-10.9204982164582,1.68852837899311e-14,7.60632372137014e-13,"-"
"256","MYO1F",-9.92142288409731,1.75802966338729e-14,7.88847138411318e-13,"-"
"257","CCDC114",-10.2973788528647,1.93336183583435e-14,8.60795635977877e-13,"-"
"258","BTG3",-10.2973788528647,1.93336183583435e-14,8.60795635977877e-13,"-"
"259","ZAP70",9.9009864121658,1.95162132483462e-14,8.655704308253e-13,"+"
"260","OSBPL8",-9.88476801256066,2.00370552640059e-14,8.85252514683213e-13,"-"
"261","DGKQ",-10.6005366040588,2.02742592705034e-14,8.88894718474322e-13,"-"
"262","KCNN1",-10.6005366040588,2.02742592705034e-14,8.88894718474322e-13,"-"
"263","LINC00944",-9.87971914569787,2.03561352385719e-14,8.89090971427664e-13,"-"
