"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"205","NDUFS3",-13.9931417068166,2.47337906815725e-10,5.81924796801478e-09,"-"
"206","PAK1",12.6933928366509,2.48242924293031e-10,5.81924796801478e-09,"+"
"207","PRCC",-11.3896150536784,2.50827518759386e-10,5.85143037724192e-09,"-"
"208","HINT3",-11.3720653255725,2.61106569114235e-10,5.98990743315284e-09,"-"
"209","MIR8086",-11.3720653255725,2.61106569114235e-10,5.98990743315284e-09,"-"
"210","PRM1",11.5132131446405,2.61725091819269e-10,5.98990743315284e-09,"+"
"211","MIR548AA2",11.5132131446405,2.61725091819269e-10,5.98990743315284e-09,"+"
"212","COP1",-11.4582458388069,2.73600349378988e-10,6.23215135448649e-09,"-"
"213","YDJC",11.3817847922971,2.80501139280316e-10,6.35934273044434e-09,"+"
"214","PRPF38B",11.3565738457895,2.95645946754069e-10,6.64034547383907e-09,"+"
"215","ELK4",11.3565738457895,2.95645946754069e-10,6.64034547383907e-09,"+"
"216","RAB1A",12.7570115414128,3.07878730486259e-10,6.72735922858889e-09,"+"
"217","ZBTB9",11.4922655259478,3.01492629311407e-10,6.72735922858889e-09,"+"
"218","PRICKLE4",11.3672835447384,3.02908951290408e-10,6.72735922858889e-09,"+"
"219","BHLHE41",12.5343389251928,3.05065142658979e-10,6.72735922858889e-09,"+"
"220","ASIC1",11.4540870324051,3.07471493451816e-10,6.72735922858889e-09,"+"
"221","CSNK1E",11.4540870324051,3.07471493451816e-10,6.72735922858889e-09,"+"
"222","TSSK3",-11.3701761797445,3.19310760208087e-10,6.91458143966302e-09,"-"
"223","ANTXRL",-11.3701761797445,3.19310760208087e-10,6.91458143966302e-09,"-"
"224","CP",-11.2484452735561,3.29615425626126e-10,7.05764008255231e-09,"-"
"225","LHFPL3-AS2",-11.255625810918,3.29945156735687e-10,7.05764008255231e-09,"-"
"226","CSTF2T",-11.2356016864204,3.30301648096257e-10,7.05764008255231e-09,"-"
"227","INPP4A",12.8656392289831,3.3513145456954e-10,7.11232956843717e-09,"+"
"228","CCDC12",12.2828856094434,3.35806821620144e-10,7.11232956843717e-09,"+"
"229","UBE2D3",11.3537640251163,3.45356668698813e-10,7.28265219714658e-09,"+"
"230","ENPEP",-11.2372844906697,3.50421238644175e-10,7.35732244092487e-09,"-"
"231","ANAPC13",-11.2029268033552,3.57266852908324e-10,7.43638634782025e-09,"-"
"232","PSMG4",-11.2029268033552,3.57266852908324e-10,7.43638634782025e-09,"-"
"233","KLF2",14.4944500173524,3.69398087920046e-10,7.65589427710687e-09,"+"
"234","LOC101927497",11.3497573124185,3.75224425964767e-10,7.74341347429e-09,"+"
"235","CXXC5",11.19929989206,3.7897747659884e-10,7.78758397657786e-09,"+"
"236","HPS5",11.2447638137707,3.85954297848445e-10,7.88319544860595e-09,"+"
"237","RCAN1",11.1956748481373,3.86895282940486e-10,7.88319544860595e-09,"+"
"238","BAIAP2-DT",11.267625308498,3.92427832678688e-10,7.96232774792178e-09,"+"
"239","PLOD1",-11.2366967505495,4.04869243082825e-10,8.18039152655632e-09,"-"
"240","DCAKD",11.2876380026492,4.09163654085001e-10,8.23271368990195e-09,"+"
"241","LOC100506585",12.2781745954613,4.15643648583399e-10,8.32839493364828e-09,"+"
"242","YWHAE",-13.4477031525078,4.2836336168218e-10,8.54779617174896e-09,"-"
"243","CHMP2B",11.1629225761337,4.34712128854613e-10,8.63878547423427e-09,"+"
"244","MPI",11.1650062990309,4.4593206666045e-10,8.82543422091522e-09,"+"
"245","COG2",-11.1578757707052,4.54012367918485e-10,8.91334237049293e-09,"-"
"246","CDC42EP2",-13.4500014912992,4.54065484187463e-10,8.91334237049293e-09,"-"
"247","LOC101928597",-11.2259797660445,4.59228936210919e-10,8.94200214904245e-09,"-"
"248","EIF2AK4",-11.2259797660445,4.59228936210919e-10,8.94200214904245e-09,"-"
"249","RAB20",11.1791557123543,4.66914495852109e-10,9.01892040187934e-09,"+"
"250","PLIN3",11.1791557123543,4.66914495852109e-10,9.01892040187934e-09,"+"
"251","C1S",11.2354495841477,4.71275937063812e-10,9.06018033851915e-09,"+"
"252","C1R",-11.1460974959252,4.74679152131983e-10,9.06018033851915e-09,"-"
"253","SNRPA",-11.1460974959252,4.74679152131983e-10,9.06018033851915e-09,"-"
"254","NPLOC4",11.0874157642736,4.8688976419028e-10,9.25665618612151e-09,"+"
"255","PLCD1",14.1276636162234,4.96891353723745e-10,9.40975822404691e-09,"+"
"256","ADGRG7",-11.0190127539075,5.05670650455958e-10,9.46466500407682e-09,"-"
"257","MIR548Q",-11.0190127539075,5.05670650455958e-10,9.46466500407682e-09,"-"
"258","CITED1",-11.0190127539075,5.05670650455958e-10,9.46466500407682e-09,"-"
"259","TMPRSS15",11.1939881499922,5.09014173858141e-10,9.49046117977205e-09,"+"
"260","ANKRD55",-12.4302338702215,5.11668629858186e-10,9.50326082148147e-09,"-"
"261","LOC100507464",-11.1273843268249,5.24905851321996e-10,9.69156942505793e-09,"-"
"262","PRTFDC1",11.0343249496892,5.25821327265516e-10,9.69156942505793e-09,"+"
"263","LOC101927419",11.1043041458377,5.59143586500484e-10,1.02276681030714e-08,"+"
"264","C12orf43",11.1043041458377,5.59143586500484e-10,1.02276681030714e-08,"+"
"265","LOC101927690",-10.9791748103655,5.65336810848248e-10,1.03019300361743e-08,"-"
"266","ALPL",10.9820937834456,5.89267732066654e-10,1.06575800679771e-08,"+"
"267","GDI2",-15.1867920471059,5.88532573503123e-10,1.06575800679771e-08,"-"
"268","C1QTNF8",10.9743687932914,6.09438847395805e-10,1.09812693808744e-08,"+"
"269","DPYD",11.0161188699637,6.51572637143115e-10,1.16167907487052e-08,"+"
"270","MIR4263",10.9863108560813,6.51925925222429e-10,1.16167907487052e-08,"+"
"271","PRG3",10.9207435694842,6.49938215021607e-10,1.16167907487052e-08,"+"
"272","LOC283710",12.3832808678324,6.55585458131617e-10,1.16390521224911e-08,"+"
"273","PDE7A",-10.8996415798769,6.67893955265719e-10,1.17710215692634e-08,"-"
"274","LOC100506869",-10.8685275728944,6.65612709446817e-10,1.17710215692634e-08,"-"
"275","DLD",10.900465164635,6.81567126021746e-10,1.19563226214498e-08,"+"
"276","CYLD",-10.8615222763043,6.83359917896072e-10,1.19563226214498e-08,"-"
"277","TEX35",-10.9760050795872,7.04887135514906e-10,1.22442445230269e-08,"-"
"278","ICAM1",-10.9760050795872,7.04887135514906e-10,1.22442445230269e-08,"-"
"279","SUV39H2",-10.8938443030715,7.45110635807669e-10,1.27142730046475e-08,"-"
"280","STAT6",-10.8938443030715,7.45110635807669e-10,1.27142730046475e-08,"-"
"281","IL16",11.0479945683309,7.40871314042704e-10,1.27142730046475e-08,"+"
"282","WHAMM",11.0479945683309,7.40871314042704e-10,1.27142730046475e-08,"+"
"283","SOX8",10.9008377439746,7.39317594416101e-10,1.27142730046475e-08,"+"
"284","RALGDS",10.85764120767,7.60595004114417e-10,1.28874149995387e-08,"+"
"285","PPM1N",10.8352724978371,7.59213534417655e-10,1.28874149995387e-08,"+"
"286","IFT88",10.8325435386273,7.80528009453537e-10,1.30421098880662e-08,"+"
"287","ABAT",10.8325435386273,7.80528009453537e-10,1.30421098880662e-08,"+"
"288","LLGL2",10.8325435386273,7.80528009453537e-10,1.30421098880662e-08,"+"
"289","FCER2",10.8325435386273,7.80528009453537e-10,1.30421098880662e-08,"+"
"290","SPIN1",10.9002979580917,7.91593867352734e-10,1.31814027084357e-08,"+"
"291","MIR4648",12.6332233351508,7.96386684883276e-10,1.32156402106575e-08,"+"
"292","COL4A2-AS2",-14.0202822095349,8.27696812624263e-10,1.368817776768e-08,"-"
"293","CWC27",-10.7620489797935,8.33047888014871e-10,1.37296527345523e-08,"-"
"294","ZMYM3",10.7285250417958,9.58339904793848e-10,1.5740895919216e-08,"+"
"295","SPIB",10.7860621934052,9.63654062841227e-10,1.57745270151196e-08,"+"
"296","AADACL4",10.6946512545295,9.94053119618999e-10,1.62171706575681e-08,"+"
"297","ARMC2",12.1312996362957,1.00913029674845e-09,1.62741644324839e-08,"+"
"298","HHIPL1",-10.644507933708,1.01439707893511e-09,1.62741644324839e-08,"-"
"299","SPAG9",-10.644507933708,1.01439707893511e-09,1.62741644324839e-08,"-"
"300","ASIP",13.2031669701189,1.00315361014298e-09,1.62741644324839e-08,"+"
"301","SPATA2",13.1225130025694,1.01054249461624e-09,1.62741644324839e-08,"+"
"302","SLC35E2A",10.6858498994243,1.07146209001783e-09,1.69642309268725e-08,"+"
"303","NAB1",10.6858498994243,1.07146209001783e-09,1.69642309268725e-08,"+"
"304","NCOA7-AS1",10.6858498994243,1.07146209001783e-09,1.69642309268725e-08,"+"
"305","LOC101927018",10.6858498994243,1.07146209001783e-09,1.69642309268725e-08,"+"
"306","RPL32",12.9728860668431,1.13110723323243e-09,1.78500549976451e-08,"+"
"307","SLC50A1",14.4313129767378,1.15805250323769e-09,1.80560359004808e-08,"+"
"308","SEC24D",-10.6022151324254,1.17781141202142e-09,1.80560359004808e-08,"-"
"309","LOC101926963",10.670972558368,1.16729634093237e-09,1.80560359004808e-08,"+"
"310","LSMEM1",-10.688888811633,1.15574228289064e-09,1.80560359004808e-08,"-"
"311","GSC",-10.6022151324254,1.17781141202142e-09,1.80560359004808e-08,"-"
"312","MIR631",10.670972558368,1.16729634093237e-09,1.80560359004808e-08,"+"
"313","CCBE1",-10.688888811633,1.15574228289064e-09,1.80560359004808e-08,"-"
"314","CACTIN",10.670972558368,1.16729634093237e-09,1.80560359004808e-08,"+"
"315","SNORA80A",-10.6022151324254,1.17781141202142e-09,1.80560359004808e-08,"-"
"316","MAPK1",12.3188911535488,1.18363717440518e-09,1.80879237822867e-08,"+"
"317","CRYBA1",-12.9552360127574,1.19276705674417e-09,1.81699435868063e-08,"-"
"318","LOC100507564",-10.5192461893894,1.29977217849666e-09,1.94925461178893e-08,"-"
"319","PLEKHA2",-11.9849431075871,1.29384939684923e-09,1.94925461178893e-08,"-"
