"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"168","TRIM29",11.339417311283,1.20228333762797e-11,1.61459579988509e-10,"+"
"169","GLG1",-11.3472756202606,1.20058985402186e-11,1.61459579988509e-10,"-"
"170","GAB3",-11.3564598365425,1.19715587356405e-11,1.61459579988509e-10,"-"
"171","TMOD2",-11.3413012902752,1.21907196022546e-11,1.62756800303786e-10,"-"
"172","FAM198A",11.3763209944242,1.23802028949869e-11,1.63375741093961e-10,"+"
"173","TMIE",-11.3402779991922,1.23636679137208e-11,1.63375741093961e-10,"-"
"174","NEUROG3",-11.3572473334346,1.26527159615321e-11,1.66012359426309e-10,"-"
"175","OSBPL10-AS1",11.3189998926613,1.30463824408629e-11,1.70199377785657e-10,"+"
"176","MIR718",-11.3125361901911,1.31454400599948e-11,1.70517270778228e-10,"-"
"177","TRIM55",-11.3440121342831,1.33054243773926e-11,1.71617422901623e-10,"-"
"178","LINC02076",11.3053491969621,1.34520313374659e-11,1.72533637884464e-10,"+"
"179","MIR6843",-11.3685409943731,1.38881357724323e-11,1.77131921611525e-10,"-"
"180","FNDC11",-11.2874106669881,1.40870188573783e-11,1.78670355841081e-10,"-"
"181","INTS7",-11.2650300580812,1.44456541096157e-11,1.82206786366037e-10,"-"
"182","ZNF683",-11.296896298899,1.46465379991057e-11,1.82482465103216e-10,"-"
"183","LINC02608",-11.3057763066354,1.47073033635531e-11,1.82482465103216e-10,"-"
"184","LETM2",11.3239646459846,1.45862772388304e-11,1.82482465103216e-10,"+"
"185","ARIH1",11.3024323301693,1.49406048755928e-11,1.8437514016745e-10,"+"
"186","DPP4",-11.2449062473959,1.52110163801152e-11,1.8670295911722e-10,"-"
"187","LRRC14B",-11.242888804622,1.67041504023603e-11,2.00972938522021e-10,"-"
"188","CEL",-11.1996504879099,1.67257373277197e-11,2.00972938522021e-10,"-"
"189","ITIH5",-11.242888804622,1.67041504023603e-11,2.00972938522021e-10,"-"
"190","UBASH3A",-11.1996504879099,1.67257373277197e-11,2.00972938522021e-10,"-"
"191","SCX",11.1994196861829,1.77415135169159e-11,2.12062174655074e-10,"+"
"192","ZFAND2A",11.1766596510608,1.79446853802795e-11,2.12282890741718e-10,"+"
"193","NEAT1",-14.4639113604946,1.79459473995407e-11,2.12282890741718e-10,"-"
"194","IER2",13.9466434287098,1.83204526600517e-11,2.15595842386072e-10,"+"
"195","HTR6",11.1396903918813,2.0260278101151e-11,2.36168767466751e-10,"+"
"196","KCND3-IT1",11.1549379871202,2.04496143598798e-11,2.36168767466751e-10,"+"
"197","CRYGN",-11.1491793473508,2.05858890608337e-11,2.36168767466751e-10,"-"
"198","SLC35D2",-11.1491793473508,2.05858890608337e-11,2.36168767466751e-10,"-"
"199","DOCK11",-11.1491793473508,2.05858890608337e-11,2.36168767466751e-10,"-"
"200","MIR4308",-11.1053946309364,2.07835969195658e-11,2.37244758836844e-10,"-"
"201","PWWP2B",-13.9745041232871,2.10618564542411e-11,2.39224966592202e-10,"-"
"202","SLC1A4",-11.1045502416156,2.16954549187829e-11,2.40440405726123e-10,"-"
"203","ACOXL-AS1",-11.1045502416156,2.16954549187829e-11,2.40440405726123e-10,"-"
"204","NKD2",-11.115613773285,2.15802711554582e-11,2.40440405726123e-10,"-"
"205","SETD6",11.0969818824457,2.13306731730489e-11,2.40440405726123e-10,"+"
"206","FAM19A5",-11.0914471100551,2.16445930989956e-11,2.40440405726123e-10,"-"
"207","CCNL1",-11.1525294413425,2.20830243138168e-11,2.43553355113255e-10,"-"
"208","SMARCAL1",-11.0727214501254,2.23825432369914e-11,2.4566993370217e-10,"-"
"209","TCIRG1",-11.0409502279032,2.37191101480307e-11,2.59094394583512e-10,"-"
"210","PITRM1",-11.0523989212405,2.40367095821135e-11,2.61313371314119e-10,"-"
"211","ZCCHC17",-11.0501291940023,2.42339907802533e-11,2.62209483181603e-10,"-"
"212","KHDC4",-11.0305305763115,2.45548306214446e-11,2.63720476413253e-10,"-"
"213","TJP2",11.0190479851663,2.46415211865898e-11,2.63720476413253e-10,"+"
"214","KIAA1210",-11.0576400971359,2.47201848236689e-11,2.63720476413253e-10,"-"
"215","OSBPL3",-11.0212191899532,2.52662563069975e-11,2.65218998367563e-10,"-"
"216","FKBP11",-11.0305540046514,2.53253358055754e-11,2.65218998367563e-10,"-"
"217","LOC730202",-11.0305540046514,2.53253358055754e-11,2.65218998367563e-10,"-"
"218","MED14",-11.0305540046514,2.53253358055754e-11,2.65218998367563e-10,"-"
"219","EDEM3",11.0143629474678,2.64650063797596e-11,2.75888628150645e-10,"+"
"220","GHET1",10.9765948452099,2.73868154495624e-11,2.82914478150909e-10,"+"
"221","SUGP1",10.9765948452099,2.73868154495624e-11,2.82914478150909e-10,"+"
"222","MIR3135A",-10.9787138553844,2.93736236563066e-11,3.02071994627693e-10,"-"
"223","SSPO",10.9326850943507,3.05319663864867e-11,3.12576140180938e-10,"+"
"224","MAMSTR",-14.0672653118437,3.1410486298007e-11,3.20134554546205e-10,"-"
"225","PROX1",10.9079107609063,3.21887581024055e-11,3.26608598879075e-10,"+"
"226","C4orf48",-10.9059983475712,3.28329028598319e-11,3.26922432082287e-10,"-"
"227","CASC6",-10.9132859657371,3.29335333100262e-11,3.26922432082287e-10,"-"
"228","NPSR1",-10.9132859657371,3.29335333100262e-11,3.26922432082287e-10,"-"
"229","RFX2",-10.9059983475712,3.28329028598319e-11,3.26922432082287e-10,"-"
"230","P2RY11",-10.8990159796072,3.29356808492887e-11,3.26922432082287e-10,"-"
"231","MIR1260A",-10.910637138575,3.34448275091001e-11,3.30539139408119e-10,"-"
"232","DPYD-AS2",10.911559636716,3.38237546012018e-11,3.32843240321309e-10,"+"
"233","GPR78",10.8442671802598,3.66616464325207e-11,3.5407961502344e-10,"+"
"234","SFT2D1",-10.8475642754744,3.67867713935471e-11,3.5407961502344e-10,"-"
"235","LOC101929116",10.8611432447907,3.67944441229725e-11,3.5407961502344e-10,"+"
"236","LINC00374",10.8555881564862,3.65291053914543e-11,3.5407961502344e-10,"+"
"237","OR1F1",-10.8475642754744,3.67867713935471e-11,3.5407961502344e-10,"-"
"238","MPRIP",-11.0046664571591,3.6912373357678e-11,3.5407961502344e-10,"-"
"239","MGRN1",-10.8519066821109,3.77245594303575e-11,3.57365847217868e-10,"-"
"240","MIR5093",-10.8519066821109,3.77245594303575e-11,3.57365847217868e-10,"-"
"241","GPR101",-10.8519066821109,3.77245594303575e-11,3.57365847217868e-10,"-"
"242","RPAP3",-10.839069637454,3.80997426107036e-11,3.59428563554695e-10,"-"
"243","LINC01815",10.7993515307477,3.97844702729391e-11,3.72245678824262e-10,"+"
"244","WNT5A",10.7993515307477,3.97844702729391e-11,3.72245678824262e-10,"+"
"245","ALDH4A1",10.7902170771878,4.05685150079995e-11,3.74971335073938e-10,"+"
"246","TNIK",10.7902170771878,4.05685150079995e-11,3.74971335073938e-10,"+"
"247","SHC2",10.7966637039611,4.04280234878873e-11,3.74971335073938e-10,"+"
"248","HLA-C",-14.6176224385002,4.1690965644265e-11,3.82954034322772e-10,"-"
"249","FLNA",-13.3934617425134,4.17676542034035e-11,3.82954034322772e-10,"-"
"250","LIN54",10.7835083001603,4.24571558337176e-11,3.83121291574614e-10,"+"
"251","STK17A",13.2901629955553,4.21151856648574e-11,3.83121291574614e-10,"+"
"252","TMEM75",10.8019696062722,4.24392889349853e-11,3.83121291574614e-10,"+"
"253","FBN3",10.8019696062722,4.24392889349853e-11,3.83121291574614e-10,"+"
"254","COA7",-10.8225231287237,4.30698096514909e-11,3.87119588324227e-10,"-"
"255","VGLL3",10.7480404751885,4.44441198484657e-11,3.96937383742637e-10,"+"
"256","NPRL3",-13.2170262404223,4.45098424170456e-11,3.96937383742637e-10,"-"
"257","FAM9B",10.7652141451715,4.52258374595318e-11,4.01753256498487e-10,"+"
"258","MIR1289-2",-10.7449962073644,4.73576917046743e-11,4.19020460980353e-10,"-"
