"","Gene","log2FC","P.value","adj.P.value","sgnlFC"
"1319","CCDC71L",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1320","CCAR2",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1321","FAM163B",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1322","MIR6072",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1323","MALRD1",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1324","NHLRC2",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1325","VWA2",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1326","RBM4",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1327","CRACR2A",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1328","MAGOHB",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1329","HOXC12",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1330","LINC00374",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1331","LINC00399",-7.99274669614931,6.58769222309028e-10,5.05288435862829e-09,"-"
"1332","BRF1",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1333","ISG20",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1334","SV2B",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1335","SMTNL2",8.10689263753958,6.45499811239645e-10,5.05288435862829e-09,"+"
"1336","PIK3R6",-7.9927425766084,6.5879852759409e-10,5.05288435862829e-09,"-"
"1337","KCNJ18",-7.99274669614931,6.58769222309028e-10,5.05288435862829e-09,"-"
"1338","DGKE",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1339","LINC-ROR",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1340","LOC101927322",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1341","DEFB129",-7.99276364232508,6.59029391838882e-10,5.05288435862829e-09,"-"
"1342","ZNF133",-7.99276364232508,6.59029391838882e-10,5.05288435862829e-09,"-"
"1343","CHAF1B",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1344","LARGE-AS1",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1345","SHANK3",-7.99277876697374,6.5871403673048e-10,5.05288435862829e-09,"-"
"1346","GJB1",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1347","ESX1",-7.99274669614931,6.58769222309028e-10,5.05288435862829e-09,"-"
"1348","SPANXN4",-7.99274669614931,6.58769222309028e-10,5.05288435862829e-09,"-"
"1349","MIR2114",-7.99278510799816,6.5864061780852e-10,5.05288435862829e-09,"-"
"1350","RGS3",-10.0364646394118,6.65851373852843e-10,5.10140797019256e-09,"-"
"1351","IRX2",-9.42056687849921,6.79162682206265e-10,5.1995408009322e-09,"-"
"1352","CASP6",8.29134695842571,6.80725456044986e-10,5.2076504377761e-09,"+"
"1353","PPFIA2-AS1",-7.97977800947804,6.88412587309636e-10,5.25495797089011e-09,"-"
"1354","PXN-AS1",-7.97976452559134,6.88433534811573e-10,5.25495797089011e-09,"-"
"1355","LINC01082",-7.97977800947804,6.88412587309636e-10,5.25495797089011e-09,"-"
"1356","KYNU",-10.1677145872093,6.92589926501453e-10,5.28278584793845e-09,"-"
"1357","TNKS",-10.2439468714115,7.02771089093878e-10,5.35649327523801e-09,"-"
"1358","HECA",-9.77165268158822,7.13528158365472e-10,5.43447845506191e-09,"-"
"1359","CHST2",-8.16841710200802,7.15993852617794e-10,5.4372425973758e-09,"-"
"1360","ZNF33B",-8.1684135356237,7.15986019218711e-10,5.4372425973758e-09,"-"
"1361","UNC5B-AS1",-8.16844221910321,7.15940845278209e-10,5.4372425973758e-09,"-"
"1362","ZXDA",-8.1684184956544,7.15990158006895e-10,5.4372425973758e-09,"-"
"1363","DPYSL5",-8.16655594202655,7.2129151112422e-10,5.47345421831094e-09,"-"
"1364","GAP43",-9.84105047187733,7.28946562651109e-10,5.52748848790353e-09,"-"
"1365","MYO7A",-10.1101815530237,7.33127010264429e-10,5.5521859610943e-09,"-"
"1366","REM2",7.87792935704779,7.33277194513663e-10,5.5521859610943e-09,"+"
"1367","CDCA7L",-10.0040142776245,7.4243708757382e-10,5.61742999032627e-09,"-"
"1368","DACH2",-8.15590332569866,7.45955299462997e-10,5.63992372978493e-09,"-"
"1369","ASS1",-8.15544397053641,7.47316539799873e-10,5.64608836460927e-09,"-"
"1370","THEG5",-9.99096586260802,7.79779288249602e-10,5.88704903530338e-09,"-"
"1371","LYPLAL1-DT",-7.72950238304668,7.83896340288333e-10,5.91381462261286e-09,"-"
"1372","SDHAF4",-8.140064389444,7.91036906931095e-10,5.96333435013726e-09,"-"
"1373","ASXL1",-8.11544889990805,8.31093929949096e-10,6.2607461889756e-09,"-"
"1374","GHITM",-8.11546042584013,8.33419816255283e-10,6.27369807825938e-09,"-"
