"","Feature","p value","adjusted p value"
"96","ZNF672",1.06971095585115e-13,1.23053109324295e-11
"612","MEX3B",1.21724171875033e-13,1.39347715020418e-11
"849","MIR1914",1.36568581322975e-13,1.55589695750507e-11
"814","KIR2DL3",1.39619736978832e-13,1.5830473240131e-11
"226","ELF2",1.74889604218708e-13,1.97350426246224e-11
"354","PAXIP1-AS1",1.78333675415482e-13,2.00283085607615e-11
"613","ANPEP",1.90126148635784e-13,2.12519780387838e-11
"678","RAI1-AS1",2.17079423897806e-13,2.41508502727996e-11
"68","NES",2.23769952254179e-13,2.47788624232116e-11
"746","DOT1L",2.63451449049663e-13,2.90372511075808e-11
"319","CREB5",2.8081371871849e-13,3.0807605057741e-11
"669","CAMKK1",4.22894174302567e-13,4.61812131264881e-11
"25","CDA",4.38309162580119e-13,4.76450102094544e-11
"461","FAR1",5.81165535425636e-13,6.28852954017411e-11
"284","HLA-DMB",6.02658620250547e-13,6.49145514730783e-11
"3","SKI",8.72696317130729e-13,9.35759485386737e-11
"795","PNMA8B",9.64438916877654e-13,1.02947337897521e-10
"307","GINM1",1.82969811950961e-12,1.9443209120188e-10
"529","ATG101",2.03328589980975e-12,2.15101678427641e-10
"489","RHOD",2.2200065658716e-12,2.33811091517597e-10
"278","E2F3",2.33345207954858e-12,2.4467174304895e-10
"324","NSUN5",2.65643448934078e-12,2.76860577694779e-10
"374","TRIB1",2.66380603934715e-12,2.76860577694779e-10
"210","ABLIM2",2.82379036055868e-12,2.92206812987594e-10
"310","FGFR1OP",3.73570719454857e-12,3.84891536474859e-10
"644","N4BP1",4.23159949402553e-12,4.34096161081918e-10
"179","ZXDC",5.22480692818491e-12,5.33673490418956e-10
"403","CIZ1",5.75969199739316e-12,5.85782923872214e-10
"265","KCNMB1",8.48453241440841e-12,8.59222071043744e-10
"389","CTSL",8.79585631851111e-12,8.86959179488331e-10
"460","LOC440028",9.93149675783989e-12,9.97231689281915e-10
"93","AHCTF1",1.01436896436905e-11,1.01424056323432e-09
"171","LINC00877",1.21067962123657e-11,1.20544012539677e-09
"837","LINC01370",1.22816512683659e-11,1.21773343140781e-09
"852","LINC01426",1.28700247166227e-11,1.27075406545754e-09
"862","XBP1",1.47058646795024e-11,1.44599533323721e-09
"747","LSM7",1.54678730496321e-11,1.51463713907906e-09
"89","IRF2BP2",1.59838981694074e-11,1.55872606963147e-09
"629","LOC101927131",1.62105136560201e-11,1.57434648404389e-09
"36","MARCKSL1",1.79350735046082e-11,1.73472423199469e-09
"585","NRDE2",1.89532810515536e-11,1.82575569544173e-09
"196","MCF2L2",1.97472319807738e-11,1.89453504554007e-09
"443","GRK5",2.05397944406543e-11,1.96262705185558e-09
"381","PYCR3",2.25899527391295e-11,2.14985586369137e-09
"834","SAMHD1",2.624468731843e-11,2.48768142153934e-09
"392","CARD19",2.87452669386703e-11,2.71385095874769e-09
"801","SPACA6P-AS",3.00355263333415e-11,2.82441217270315e-09
"130","PLEKHA3",3.14325334136604e-11,2.9348364745273e-09
"254","SRA1",3.1457503672614e-11,2.9348364745273e-09
"299","SMPD2",3.88768040109612e-11,3.61274646491771e-09
"889","BCAP31",3.9028699625224e-11,3.61274646491771e-09
"548","OGFOD2",4.39291144394205e-11,4.05053783996478e-09
"146","MIR4786",4.44640591257033e-11,4.08397212830152e-09
"716","SLC16A5",4.48452216647226e-11,4.10307806096112e-09
"567","CHAMP1",4.53836613931863e-11,4.13637163090129e-09
"105","ABHD1",5.06193540124321e-11,4.59588824533564e-09
"642","ITGAX",5.1734006174805e-11,4.67916314627616e-09
"673","PER1",5.35038388438708e-11,4.81216998714468e-09
"166","DCP1A",5.36107050093343e-11,4.81216998714468e-09
"558","WBP4",5.98110093798661e-11,5.34845845009316e-09
"510","TMPRSS13",6.54519088533305e-11,5.83087926352396e-09
"521","GPR162",7.41030470616783e-11,6.57685358135053e-09
"843","SLC9A8",7.81835126971192e-11,6.91311455367027e-09
"776","CRTC1",8.03249102734591e-11,7.07605724442439e-09
"38","THRAP3",9.05351670038073e-11,7.94596982403415e-09
"627","C16orf72",9.93984269086735e-11,8.69167720463039e-09
"451","PANO1",1.06145690790901e-10,9.21367924788273e-09
"702","SPATA20",1.06145690790901e-10,9.21367924788273e-09
"31","TRNP1",1.14547840835254e-10,9.90671600099644e-09
"549","MIR6880",1.150379686995e-10,9.91292634280742e-09
"64","S100A10",1.27862139637285e-10,1.09780765325534e-08
"434","GHITM",1.33461893291979e-10,1.14174963369676e-08
"85","FAM71A",1.35755191946342e-10,1.15719092933542e-08
"699","LSM12",1.61960252457104e-10,1.37310916722759e-08
"847","SLCO4A1",1.62244405124584e-10,1.37310916722759e-08
"831","FAM83C",1.67371712114945e-10,1.41146173024479e-08
"714","LINC00469",1.7998774558431e-10,1.51247149188347e-08
"481","HNRNPUL2-BSCL2",1.8332134345065e-10,1.53504094549472e-08
"617","LYSMD4",2.18624845115643e-10,1.82111425376446e-08
"421","TMEM72",2.19022476399068e-10,1.82111425376446e-08
"220","LIN54",2.21579662486933e-10,1.83593470697652e-08
"102","HPCAL1",2.38727987990022e-10,1.97112792034828e-08
"57","MIR548AC",2.41277057325677e-10,1.97571594066194e-08
"583","TSHR",2.41627514206339e-10,1.97571594066194e-08
"566","RAB20",2.41784876900858e-10,1.97571594066194e-08
"809","LENG1",2.47068703910691e-10,2.01195432184593e-08
"350","RAB19",2.63475760861665e-10,2.13821407710235e-08
"686","CCL1",2.88628376042405e-10,2.33434355872931e-08
"416","VIM",3.01221434994812e-10,2.42790623982043e-08
"611","TMC3-AS1",3.11293292820905e-10,2.50058208812779e-08
"600","BLOC1S6",3.17738298643106e-10,2.54373123748165e-08
"874","ARSA",3.19744119247167e-10,2.551170502963e-08
"370","KLF10",3.22371259000444e-10,2.56350057870252e-08
"186","RNF7",3.23838420964705e-10,2.56655487010054e-08
"209","LOC100129931",3.59741806977164e-10,2.84160053331262e-08
"471","MIR4487",4.21859497633122e-10,3.32119751342594e-08
"59","HIST2H2AB",4.29319246194929e-10,3.36873449572226e-08
"628","CLEC16A",4.45119175459113e-10,3.48118452173419e-08
"759","MIR1181",4.59961997024088e-10,3.58543402746046e-08
"222","MANBA",4.68284841413177e-10,3.63834291376002e-08
"52","KCNC4",4.77593633191068e-10,3.69854128291789e-08
"696","GJD3",6.65113524560331e-10,5.13393980179354e-08
"590","LINC00239",8.02476629706304e-10,6.17411970589295e-08
"106","PLB1",8.32800547685073e-10,6.38669080210135e-08
"457","RRM1",8.59697322521715e-10,6.57169272638615e-08
"349","AKR1D1",8.88351576646471e-10,6.76889624173358e-08
"743","KLF16",9.48340339943341e-10,7.20282725501197e-08
"258","CD74",9.89123785306001e-10,7.47146912700476e-08
"290","MDGA1",9.90016164864538e-10,7.47146912700476e-08
"84","LAMB3",1.01646730796897e-09,7.64673834823511e-08
"119","RANBP2",1.04355963265358e-09,7.8257065237316e-08
"376","KCNK9",1.17536068705561e-09,8.78628460604318e-08
"320","LOC101928618",1.31341809924404e-09,9.78744298672516e-08
"225","LARP1B",1.34865990566446e-09,1.00185560453074e-07
"67","RUSC1-AS1",1.47528423323715e-09,1.0924940773444e-07
"463","MIR3159",1.49469027186719e-09,1.10341667826906e-07
"538","THAP2",1.55881525326427e-09,1.147181523497e-07
"6","TNFRSF14",1.61054254977206e-09,1.18157977715011e-07
"596","EIF2AK4",1.64343674115088e-09,1.20199137206952e-07
"207","HTT-AS",1.73844503944834e-09,1.26756714153253e-07
"851","OLIG2",1.79489084709643e-09,1.30470946023448e-07
"723","CEP295NL",1.84177389702271e-09,1.33469468005343e-07
"812","LILRB3",1.92356220863873e-09,1.38971505055219e-07
"109","STPG4",2.3028881258952e-09,1.65870942004068e-07
"29","NIPAL3",2.73352753765834e-09,1.96292127454211e-07
"605","USP3",2.92429426802521e-09,2.09356499303304e-07
"819","ANGPT4",3.02943383291941e-09,2.16230402224974e-07
"223","SGMS2",3.05840762226444e-09,2.17642899173575e-07
"498","NUMA1",3.21570465287585e-09,2.2791446782441e-07
"663","MAP1LC3B",3.22198365705268e-09,2.2791446782441e-07
"621","TELO2",3.73607307543042e-09,2.63493225203794e-07
"134","MIR6809",3.80718900148148e-09,2.67486893700703e-07
"853","HLCS",3.81527493230525e-09,2.67486893700703e-07
"598","JMJD7",4.63106194660369e-09,3.22771396907846e-07
"761","CDKN2D",4.63106194660369e-09,3.22771396907846e-07
"803","FPR3",4.95787796425484e-09,3.44536170436794e-07
"79","INAVA",5.02010801220909e-09,3.47840642003856e-07
"204","C4orf48",6.25113516316204e-09,4.31875072773909e-07
"674","MYH10",6.31569251324262e-09,4.34359508592975e-07
"825","RALGAPA2",6.32375534728348e-09,4.34359508592975e-07
"593","KLF13",6.8540151098654e-09,4.6942079785688e-07
"864","CASTOR1",7.14337697737868e-09,4.87828830642486e-07
"643","GPT2",7.26915398604435e-09,4.94991787377279e-07
"326","ABHD11-AS1",7.44322341441841e-09,5.05392737110238e-07
"76","ARPC5",7.78321144919079e-09,5.26967890604212e-07
"574","LINC01588",7.85188192103847e-09,5.30102694822931e-07
"11","SLC25A33",8.55375818886787e-09,5.75847749436369e-07
"524","ETV6",8.58409715677359e-09,5.76253117065336e-07
"198","TM4SF19",8.72905382333438e-09,5.84328780936595e-07
"602","LIPC-AS1",9.79359759285473e-09,6.53743330022193e-07
"563","STK24",9.98066419388030e-09,6.64358987085341e-07
"88","TRIM11",1.05760785975103e-08,7.02020544888521e-07
"684","UTP6",1.07954307418457e-08,7.14579112540554e-07
"337","LAMTOR4",1.13665192870104e-08,7.50285257783523e-07
"20","CTRC",1.15000475644201e-08,7.56990630927952e-07
"467","CD44",1.17046279846823e-08,7.68322906795057e-07
"813","LILRA6",1.19371947952046e-08,7.81424599618682e-07
"377","CHRAC1",1.26966902361248e-08,8.28852530373139e-07
"253","CTNNA1",1.30460896740237e-08,8.49321942322361e-07
"356","TDRP",1.40649809295297e-08,9.13144802978259e-07
"401","TTC16",1.44265671476307e-08,9.34061097533893e-07
"486","FRMD8",1.45868510927861e-08,9.4186542328543e-07
"121","MCM6",1.52047682821586e-08,9.79096179299763e-07
"792","KCNN4",1.5834864711046e-08,1.01690728741912e-06
"124","ARL6IP6",1.67118182174173e-08,1.07032420621118e-06
"565","IRS2",1.74727848039335e-08,1.11604469406688e-06
"274","ERVFRD-1",1.78837674567995e-08,1.13922483178435e-06
"27","LDLRAD2",1.87409756643853e-08,1.1906297595682e-06
"263","PANK3",1.90560491442624e-08,1.20740961650157e-06
"32","SLC9A1",1.96360489883762e-08,1.24084120767347e-06
"608","SEMA7A",1.99529994436038e-08,1.25751656333798e-06
"850","BACH1",2.0547076378129e-08,1.28858917549405e-06
"697","PSMC3IP",2.06091613922541e-08,1.28858917549405e-06
"735","PALM",2.06091613922541e-08,1.28858917549405e-06
"476","DDB1",2.1780873468899e-08,1.35826673313816e-06
"836","CTNNBL1",2.25992150850089e-08,1.40559999965737e-06
"639","HSD3B7",2.2988466339824e-08,1.42606724307542e-06
"82","IKBKE",2.32964644117195e-08,1.44140030591257e-06
"339","FAM185A",2.38647640260829e-08,1.47271696126585e-06
"721","TMEM235",2.59480716575075e-08,1.59712065991677e-06
"675","PIK3R5",2.73242457094568e-08,1.67746800667616e-06
"435","LOXL4",3.0292832301686e-08,1.85490761512417e-06
"281","NRM",3.11078263621959e-08,1.8999024775901e-06
"645","C16orf78",3.68108105855486e-08,2.24243130705847e-06
"81","MIR5191",3.77236875532645e-08,2.29214929217874e-06
"763","ZNF20",3.98688542010296e-08,2.41629728389207e-06
"322","PURB",4.14357437771908e-08,2.50485413338799e-06
"425","C10orf71",4.33449062996634e-08,2.6135985867255e-06
"95","NLRP3",4.45149107003874e-08,2.67137678919689e-06
"175","ST3GAL6",4.45285830161106e-08,2.67137678919689e-06
"275","TMEM170B",4.51917576287155e-08,2.70431585991836e-06
"176","CCDC80",4.53216776327727e-08,2.705258929128e-06
"465","HIPK3",4.58145862944913e-08,2.72780967693608e-06
"855","CSTB",4.70056755320902e-08,2.79171301524798e-06
"807","MYADM",4.72868161050811e-08,2.80138920310526e-06
"791","SMG9",4.84321916351965e-08,2.86208889072133e-06
"118","RFX8",5.13925429791557e-08,3.02476919009131e-06
"158","EIF1B-AS1",5.14403504075114e-08,3.02476919009131e-06
"570","DCAF11",5.25876982470995e-08,3.08458090436019e-06
"104","RAB10",5.30020740528917e-08,3.10121024402808e-06
"561","LINC00563",5.34363689991342e-08,3.11892028613912e-06
"441","DUSP5",5.54567245195031e-08,3.22888943719574e-06
"580","SLC10A1",5.72481916228629e-08,3.32502548256613e-06
"340","LHFPL3-AS2",6.01399321308481e-08,3.48444002861787e-06
"653","ESRP2",6.12441843348163e-08,3.53976447849303e-06
"352","PRKAG2-AS1",6.40369775904981e-08,3.6921758101266e-06
"829","COX4I2",6.46689475171888e-08,3.71956322649229e-06
"687","TBC1D3B",6.56516985540665e-08,3.76694503785887e-06
"80","CSRP1",6.73402509899058e-08,3.84988284621112e-06
"368","YWHAZ",6.74220948296247e-08,3.84988284621112e-06
"305","IL20RA",6.93910436256296e-08,3.95278740576093e-06
"260","SMIM3",7.24522031372737e-08,4.11726584590881e-06
"357","CLN8",7.46919141157695e-08,4.23438825072103e-06
"114","TMEM127",7.61571628808026e-08,4.30715104722286e-06
"828","PYGB",7.64027233036445e-08,4.3107507955392e-06
"571","RNF31",7.70547912249192e-08,4.33721469752235e-06
"174","CPOX",7.76438322021129e-08,4.36001396135893e-06
"173","MIR1324",8.05049236880153e-08,4.50998859724562e-06
"454","TSSC4",8.65585867609153e-08,4.80369749525389e-06
"491","ALDH3B2",8.65585867609153e-08,4.80369749525389e-06
"736","TMEM259",8.65585867609153e-08,4.80369749525389e-06
"789","HNRNPUL1",8.65585867609153e-08,4.80369749525389e-06
"594","C15orf54",8.72621248971138e-08,4.83142657403483e-06
"780","RGS9BP",9.08038148403296e-08,5.01579953443191e-06
"336","SMURF1",9.10813880105356e-08,5.01943174810619e-06
"793","APOC4-APOC2",9.18789384762539e-08,5.04330494771571e-06
"753","RANBP3",9.1940234519694e-08,5.04330494771571e-06
"55","OLFML3",9.67757203286343e-08,5.29629155803152e-06
"739","MIDN",1.02156980452743e-07,5.57791236356833e-06
"361","EGR3",1.06123996409779e-07,5.78119619062653e-06
"884","RTL9",1.06670431621079e-07,5.79763582138696e-06
"576","SNAPC1",1.0693025178968e-07,5.79845807016031e-06
"711","GNA13",1.11816545674402e-07,6.04958146768562e-06
"212","CPEB2",1.14771645293429e-07,6.19531589639723e-06
"856","TRMT2A",1.23387946937665e-07,6.64528222404964e-06
"28","ELOA",1.25894170366778e-07,6.76488470562707e-06
"606","PKM",1.27172573256753e-07,6.818118706935e-06
"22","NBPF1",1.32694355419944e-07,7.09809963969842e-06
"50","KYAT3",1.3609625229588e-07,7.26367768165648e-06
"16","TNFRSF1B",1.38468988846943e-07,7.37370703080004e-06
"883","STARD8",1.39713739506186e-07,7.4233105046594e-06
"499","P2RY2",1.49127923666871e-07,7.90578167144037e-06
"648","ARL2BP",1.53444539097863e-07,8.11646259598674e-06
