"","Feature","p value","adjusted p value"
"464","BRAT1",0.000223613203005575,0.00491099357889075
"1071","FITM2",0.000223613203005575,0.00491099357889075
"767","METTL21C",0.000225287219731694,0.00494317707961291
"327","F2RL1",0.000226957431665227,0.00496602978593803
"828","ZNF106",0.000226957431665227,0.00496602978593803
"906","DHX33",0.000226957431665227,0.00496602978593803
"800","WDR89",0.000229874657784514,0.00502522118590371
"474","CHN2",0.000233057586795453,0.00509010657538419
"786","MIA2",0.000235644762773065,0.00514187287608961
"71","SLAMF6",0.000236669229633146,0.00515947629679546
"639","TOLLIP",0.000239611840002625,0.00521523139995759
"712","RPL41",0.000239666919633448,0.00521523139995759
"803","FUT8-AS1",0.000246079385051799,0.0053498561353876
"371","LOC285766",0.000250247719854071,0.00543371001268222
"452","ARID1B",0.000250395042994851,0.00543371001268222
"362","HAVCR2",0.000251923604517173,0.00546187891696565
"1063","CST7",0.000252642643479073,0.00547246135514039
"626","NFKB2",0.000261621774090975,0.00566178190012223
"1131","PRICKLE3",0.000262637664479156,0.00567690289642283
"950","SUPT4H1",0.000262799615030419,0.00567690289642283
"404","FOXP4-AS1",0.000264181562226353,0.00570155781427859
"180","MIR4269",0.00026625347084261,0.00574104503963361
"586","ARRDC1-AS1",0.000272010524043322,0.00585984853477691
"400","MIR5690",0.000282204329481337,0.0060739291514253
"585","MIR3621",0.000285503635793497,0.0061393644803979
"1132","OGT",0.000295716592385473,0.00635321494991709
"253","MFSD10",0.000296478772002481,0.00636382016317281
"778","PSME2",0.000306115922948197,0.00656473215031983
"188","ITPR1-DT",0.000309923212329897,0.00664034700778949
"318","PIK3R1",0.000310202309896737,0.00664034700778949
"620","LINC00865",0.000323883575712539,0.00692560808184081
"1101","MIATNB",0.000324112729997952,0.00692560808184081
"914","PIK3R5",0.00032508709963386,0.00694017027029151
"1102","OSM",0.000331293533045449,0.00706630319763996
"222","TAGLN3",0.000342296936817616,0.00729443391345957
"248","LPP",0.000346539861476743,0.00737821661941994
"24","LCK",0.000347249927397414,0.00738669796188198
"730","CFAP54",0.000349505630495534,0.00742801338641495
"45","LRRC8D",0.000357557647288167,0.00759233294604631
"962","EIF4A3",0.000362342417993296,0.00768704411744596
"73","USP21",0.000369793815315299,0.00782129628550405
"952","PSMD12",0.000369793815315299,0.00782129628550405
"1026","LOC728752",0.000369793815315299,0.00782129628550405
"498","KDM7A",0.000370320902744463,0.00782129628550405
"710","SP7",0.000370320902744463,0.00782129628550405
"505","PRKAG2-AS1",0.000382257182754686,0.00806620521793214
"399","TULP1",0.00039035982981107,0.00822985488170189
"555","SHB",0.000395284459460326,0.00832627185407231
"432","TMEM244",0.000396236528320302,0.00833891386465915
"317","CD180",0.000397113692779112,0.00834995845411413
"237","TMEM14EP",0.000401504599040954,0.00843480007400132
"1045","CA11",0.000422714533998856,0.00887251223398661
"35","MROH7-TTC4",0.000424005030608417,0.00889172319498023
"511","TNFRSF10A",0.000432420359711305,0.00905217779512262
"518","EIF4EBP1",0.000432420359711305,0.00905217779512262
"16","USP48",0.000433438498383789,0.00906548287396351
"533","FAM83A",0.000435023214062816,0.00908259480497494
"556","MIR4477A",0.000435023214062816,0.00908259480497494
"1065","ASXL1",0.000443323195906197,0.00924773747657496
"171","MYOSLID-AS1",0.000457173666292287,0.00952827121383319
"948","LOC101927539",0.000459132287582435,0.00956068349634531
"557","CEMIP2",0.000464392976273927,0.0096617386819695
"963","SGSH",0.000465930268940904,0.00968521893253737
"80","RGSL1",0.000469080204824134,0.00974215040641324
