"","Feature","p value","adjusted p value"
"1136","LINC01882",4.20590139100851e-05,0.000882011020024147
"1109","ABCA5",4.20999268115183e-05,0.000882088386960697
"794","LIMA1",4.28193564780441e-05,0.000896369514540823
"1077","STAT5A",4.31278214249164e-05,0.00090202999497462
"206","RBM43",4.42796978022241e-05,0.000925305113597271
"898","MIR7843",4.50992091358696e-05,0.000940878590653657
"266","TLR9",4.51043625346058e-05,0.000940878590653657
"442","SOGA3",4.62650861770454e-05,0.000964242521668818
"1014","PDXDC2P-NPIPB14P",4.65267412640893e-05,0.000968843750206612
"648","NMT2",4.67771639896846e-05,0.000973203209011024
"1004","TENT4B",4.79855899568915e-05,0.000997468881761805
"883","DNAAF2",4.92439976400647e-05,0.00102273007193393
"254","ELP6",4.99013764740061e-05,0.00103547541007401
"1063","GOSR1",5.09705956229684e-05,0.00105582316572698
"192","TBC1D8",5.09710807946856e-05,0.00105582316572698
"285","RPN1",5.2558833570877e-05,0.00108776129181578
"651","PIP4K2A",5.34350314378037e-05,0.00110493013960003
"429","CUL7",5.43259632525999e-05,0.00112237345352821
"528","MIR598",5.50167711622693e-05,0.0011356554235473
"1058","PROCA1",5.59114607596851e-05,0.00115311913457115
"889","ATG14",5.62704340983143e-05,0.00115951345811109
"622","LINC00963",5.74244333938419e-05,0.0011822648115846
"51","FOXD2",5.79012642663242e-05,0.00119104710010337
"899","DNAL1",5.82546770706144e-05,0.00119727760844957
"878","CMA1",5.98259955039846e-05,0.00122850659918364
"639","ZMYND11",5.99339006030338e-05,0.00122965683341133
"484","KCTD7",6.04745705759979e-05,0.00123967638316559
"780","LINC02449",6.08002344242056e-05,0.00124527498284391
"1190","CILP2",6.09637837530474e-05,0.00124754644524695
"818","TAOK3",6.13859590979229e-05,0.00125510187467082
"1128","PCYT2",6.20829059410701e-05,0.00126825743283236
"1017","LINC01572",6.25764509323892e-05,0.00127723872329442
"704","NUP98",6.27886720791179e-05,0.00128046743740005
"888","MIR4308",6.34384771396981e-05,0.0012926067005842
"918","TECPR2",6.45457901234611e-05,0.00131403916542582
"1149","FGF22",6.51926720079901e-05,0.00132606931208012
"232","EGOT",6.55553368578741e-05,0.00133230258792542
"119","TOR1AIP2",6.80563886704912e-05,0.00138194707996969
"438","ZBTB24",6.8326149955977e-05,0.00138623696533115
"69","TSPAN2",6.84801959030206e-05,0.00138817382576038
"1166","CTXN1",6.89716688695208e-05,0.00139694157025729
"538","TRIM35",6.95079092048363e-05,0.00140660027705124
"357","MAST4-AS1",6.98796234169374e-05,0.00141291590111874
"986","ROGDI",7.19021700429943e-05,0.00145257094928289
"751","INTS4",7.25652182946675e-05,0.00146471718733283
"863","GPR183",7.27397230717127e-05,0.00146698997245138
"637","MRPL41",7.3004368400421e-05,0.00147107527039522
"406","PSMB8",7.38174313229543e-05,0.00148619513174176
"73","SEC22B",7.39684316133432e-05,0.00148797107295534
"340","MAML3",7.45916791469961e-05,0.00149923581064153
"618","ZDHHC12",7.62078164632138e-05,0.00153042087010913
"1069","SRCIN1",7.69193791973333e-05,0.00154340264931347
"161","KRTCAP3",7.7731926530017e-05,0.00155706970666256
"1207","OPA3",7.7731926530017e-05,0.00155706970666256
"851","DGKH",7.82173038714882e-05,0.00156546912993468
"856","NEK3",8.08392702669988e-05,0.00161658074895955
"970","WDR73",8.09890342578787e-05,0.00161821007150839
"1105","ACE",8.14790034488894e-05,0.00162584099810964
"1127","ALYREF",8.15081700533509e-05,0.00162584099810964
"519","LINC01006",8.19523054002793e-05,0.0016333252994705
"1357","ITIH6",8.67325828649824e-05,0.0017271445513878
"714","MIR1343",8.69265059392353e-05,0.00172955282220156
"1231","ZNF586",8.70831131570814e-05,0.0017312152118149
"506","PRSS1",8.94506609246928e-05,0.00177679154395008
"529","FDFT1",9.00265021933283e-05,0.00178673201212337
"824","TRIAP1",9.17534912239667e-05,0.00181943990081974
"102","CD84",9.18280846259195e-05,0.00181943990081974
"724","OR4D9",9.33805759010011e-05,0.00184865455900253
"459","LOC101926963",9.34828168905697e-05,0.00184913381624026
"264","TEX264",9.37389084522248e-05,0.00185265297213709
"1212","INAFM1",9.43675764640127e-05,0.00186352371622309
"1292","LINC00334",9.68887561866359e-05,0.00191171761478327
"111","RXRG",9.70869777768411e-05,0.00191306432657583
