"","Feature","p value","adjusted p value"
"552","SCN4A",3.94304767383941e-10,2.22472382683268e-08
"408","DNAH10",4.18596980068346e-10,2.35617402296427e-08
"670","EPS8L1",4.2096107348712e-10,2.36386600910528e-08
"434","GNG2",4.31963034325313e-10,2.41991206250755e-08
"662","CLEC11A",4.42115126983953e-10,2.4709439066365e-08
"132","ZNF502",4.50280250366864e-10,2.50476316735765e-08
"727","CRYBA4",4.50280250366864e-10,2.50476316735765e-08
"607","ILF3",4.67236505841498e-10,2.59299847281639e-08
"102","GPR148",4.71730011075279e-10,2.61181917580628e-08
"590","MIR7850",4.82712467435169e-10,2.66639565053874e-08
"710","RCAN1",6.413426703347e-10,3.53439471137706e-08
"540","MIR6779",7.21122786126561e-10,3.96483681272416e-08
"598","NRTN",8.39255758105087e-10,4.60366752310561e-08
"625","ZNF429",8.71398902482535e-10,4.76894683420984e-08
"561","MYO15B",9.20240985551336e-10,5.02464300336636e-08
"378","MIR6090",9.2747617435799e-10,5.05250641465777e-08
"312","NSMF",1.13672289417818e-09,6.17819321636247e-08
"81","SERTAD2",1.23834320178304e-09,6.69977599375633e-08
"728","MYH9",1.23834320178304e-09,6.69977599375633e-08
"367","BANF1",1.26472640991321e-09,6.8269297803447e-08
"355","C11orf74",1.36132754270515e-09,7.31505187743399e-08
"735","NUP50-DT",1.36132754270515e-09,7.31505187743399e-08
"137","PXK",1.37153676961612e-09,7.35323683927447e-08
"515","RPA1",1.53678289351326e-09,8.22057431773899e-08
"19","MED18",1.69672371312508e-09,9.01508112778589e-08
"311","NELFB",1.69672371312508e-09,9.01508112778589e-08
"514","MRM3",1.69672371312508e-09,9.01508112778589e-08
"28","ZZZ3",1.70325164794874e-09,9.0295199779511e-08
"241","GUSB",1.85554012296684e-09,9.8148960477556e-08
"746","MCF2",1.87663055895261e-09,9.90434618162585e-08
"681","CRNKL1",1.91767568181997e-09,1.0098480140464e-07
"610","NFIX",2.01926561066141e-09,1.06098752052868e-07
"643","SPTBN4",2.10531025588101e-09,1.1037508215401e-07
"413","GOLGA3",2.28432010403733e-09,1.19495658952258e-07
"506","MIR6774",2.554279593592e-09,1.33323267685792e-07
"208","MAPK13",2.7361820245848e-09,1.42503967992497e-07
"535","SLFN12L",3.18598664979324e-09,1.65566503596821e-07
"403","RNU4-2",3.21937675086026e-09,1.66935603643623e-07
"732","MRTFA",3.31939238224319e-09,1.71745941663792e-07
"656","KDELR1",3.74999468928395e-09,1.93181791634699e-07
"742","USP9X",3.74999468928395e-09,1.93181791634699e-07
"211","CCND3",3.82038351584071e-09,1.96380972179777e-07
"342","FAM53B-AS1",3.90252498212031e-09,2.00169122297197e-07
"39","NPR1",3.9717057619823e-09,2.03176110963124e-07
"700","LINC01271",3.97829748436045e-09,2.03176110963124e-07
"527","TRAF4",4.20290044921211e-09,2.14185229989203e-07
"701","ATP9A",4.77504918288672e-09,2.42820473147782e-07
"2","TNFRSF18",4.93939848303511e-09,2.50640098185189e-07
"282","RORB",5.4759662203929e-09,2.7727344342874e-07
"744","NHSL2",6.00189935967518e-09,3.03255882998343e-07
"453","MIR151B",6.48497033300427e-09,3.26966685066388e-07
"145","RPL39L",6.64378418306906e-09,3.34262746892118e-07
"402","PXN",6.87132577845575e-09,3.44978404601834e-07
"255","EPHB6",8.6871695711441e-09,4.3522168568161e-07
"121","LINC01237",9.6047576624475e-09,4.80177093516916e-07
